Capacitance 1 (pF),Capacitance 2 (pF),Capacitance 3 (pF),Capacitance 4 (pF),Capacitance 5 (pF),Capacitance 6 (pF),Capacitance 7 (pF),Capacitance 8 (pF),Capacitance 9 (pF),Capacitance 10 (pF),Capacitance 11 (pF),Capacitance 12 (pF),Capacitance 13 (pF),Capacitance 14 (pF),Capacitance 15 (pF),Capacitance 16 (pF),Timecode(device), Timer(device), Timecode(master),hand_x, hand_y, hand_z,index_00_x, index_00_y, index_00_z,index_01_x, index_01_y, index_01_z,index_02_x, index_02_y, index_02_z,index_03_x, index_03_y, index_03_z,middle_00_x, middle_00_y, middle_00_z,middle_01_x, middle_01_y, middle_01_z,middle_02_x, middle_02_y, middle_02_z,middle_03_x, middle_03_y, middle_03_z,pinky_00_x, pinky_00_y, pinky_00_z,pinky_01_x, pinky_01_y, pinky_01_z,pinky_02_x, pinky_02_y, pinky_02_z,pinky_03_x, pinky_03_y, pinky_03_z,ring_00_x, ring_00_y, ring_00_z,ring_01_x, ring_01_y, ring_01_z,ring_02_x, ring_02_y, ring_02_z,ring_03_x, ring_03_y, ring_03_z,thumb_01_x, thumb_01_y, thumb_01_z,thumb_02_x, thumb_02_y, thumb_02_z,thumb_03_x, thumb_03_y, thumb_03_z
314.2,314.3,209.3,116.6,98.1,147.3,132.6,130.2,151.5,121.9,111.5,130.2,94.4,100,135.5,86.9,124614006,770916,12:46:14:007,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.81545039088077,-5.646290057506401,-2.2079280330055773,-6.678586309330783e-16,-1.758634820493052e-17,5.515043549791475,-4.915042931615665e-17,3.0058722490083444e-16,4.963539194812328,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592790401412472,3.938284235765463,-6.527659940975661,1.892280493498981e-20,3.1059527887041744e-18,0.698132598318806,1.0394619420555325e-24,1.8957298222260245e-22,0.6283193384869258,-26.999999999999993,-14.99999999999999,10.999999999999996,37.52575909457167,17.3422415088439,-0.7498213112593577,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.0991130674568,10.091011288854391,-3.980839801141933,0,0,0,0,0,0,89.99999999999999,29.74084239890224,0,-1.11202266505414e-15,7.687589060414215e-16,35.107982333790716,-1.5689789745387082e-16,8.044525461176835e-16,6
316.1,314.3,212.5,116.9,100.1,147.6,132.5,129.4,151.4,122.5,111.2,130.8,93.1,100.1,134.7,86.7,124614007,770933,12:46:14:007,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.816594135287643,-5.758737381481411,-2.1964173178912767,1.1923818329720892e-16,-1.0534122145899644e-16,5.59849374607717,-3.7603519468908124e-16,2.1552209514991455e-16,5.038644371469454,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592736327836309,3.932387491637149,-6.5284478343418675,0,0,0.742017494414727,2.426418962204631e-20,-3.3098729687677184e-22,0.6678157449732547,-26.999999999999993,-14.99999999999999,10.999999999999996,37.56100872824332,17.488463550916695,-0.6320464728112956,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.103494131058625,10.158049695706152,-3.9559174089735527,0,0,0,0,0,0,89.99999999999999,29.23916790926326,-5.467448566456628e-15,4.565088136054616e-16,1.1063593112629087e-15,35.317013371140284,4.962806002830303e-17,-2.6008964162088247e-18,6.000000000000001
317.3,317.4,208.1,116.4,99.4,146.2,132.4,129.2,150.8,122.2,112.8,129.2,93.9,101.1,134.4,86.6,124614008,770950,12:46:14:008,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.816026440591521,-5.7032061785246455,-2.202102358429252,2.212224701795877e-16,-1.5715745505812518e-16,4.127741482758725,3.2216561252050307e-18,9.934010745501393e-17,3.714967334482853,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592763021442732,3.9352995527012506,-6.528058740759159,5.4378859308364025e-21,-1.5530430886089305e-18,0.49399460606629664,-1.2132394168947737e-20,1.418604265163063e-22,0.44459514545966744,-26.999999999999993,-14.99999999999999,10.999999999999996,37.54355807530937,17.416261579889355,-0.6902322228242831,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.101326760528618,10.124943537233067,-3.9682264390353397,0,0,0,0,0,0,89.99999999999999,31.56614025299438,0,-1.304400451025516e-15,-1.2998744368959263e-17,34.34744156125232,-2.3573328513443934e-16,1.2354257976991919e-17,6
315.1,314.3,210.4,118.4,99,146.3,132.9,129.3,151.5,121.8,112.5,131.6,92.5,100.5,134.3,86,124614009,770966,12:46:14:009,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.816523007403988,-5.751809611896,-2.1971266132673426,-3.98730128776455e-16,2.1172050655051774e-16,3.68679403900325,-3.171344669664899e-16,2.0805354927211868e-16,3.3181146351029267,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592739656899021,3.9327507846411986,-6.528399293278614,0,0,0.44097370396000685,0,0,0.39687633356400615,-26.999999999999993,-14.99999999999999,10.999999999999996,37.558827104461145,17.47945694696055,-0.6393079310086585,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.103223334912176,10.153919575399675,-3.957453155989639,0,0,0,0,0,0,89.99999999999999,32.090274432295146,3.754142135351588e-15,-2.995428509147963e-15,-9.51968520459785e-16,34.12905231987702,-5.00673897921144e-16,-7.699906686029164e-16,5.999999999999997
313.7,313.4,209.1,119.3,97.9,145,134.2,128.3,149.3,123.2,112.3,130.5,94.1,100.1,134.2,86.4,124614010,770983,12:46:14:011,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.81606226307304,-5.706726532210629,-2.2017419930439885,8.728943910716006e-16,1.1803522040410656e-16,4.0873255014426695,1.241764063611151e-16,-3.987653491536544e-18,3.678592951298406,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592761328633659,3.9351149451433667,-6.528083407087154,0,0,0.4912879398018604,0,0,0.44215914582167437,-26.999999999999993,-14.99999999999999,10.999999999999996,37.54466185767861,17.420839262187204,-0.6865449558313285,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.10146393795366,10.127042286783551,-3.9674461943433577,0,0,0,0,0,0,89.99999999999999,31.468867578071478,0,6.3702915853797696e-15,3.4389838890796307e-15,34.387971842470215,-2.8975464280085624e-16,-7.810444783718041e-16,5.999999999999997
316,313.7,210.7,117.1,99.6,146.2,132.8,127.8,150.7,123.4,111.5,129.5,93.3,98.7,134.4,86.1,124614011,771000,12:46:14:011,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.816744520577859,-5.773356892812543,-2.1949204512353457,-4.797214584384297e-16,-8.401352012381292e-17,3.684561097473081,-1.256263297940428e-16,-4.6080533242882903e-17,3.3161049877257756,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.59272930360838,3.931620842684213,-6.528550269302095,0,0,0.4484342809072016,1.2132611075046623e-20,-9.01254193959081e-23,0.40359085281648155,-26.999999999999993,-14.99999999999999,10.999999999999996,37.56561684190334,17.50746911595441,-0.6167204219323109,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.104065966573934,10.166765370969868,-3.9526764268486594,0,0,0,0,0,0,90,31.805458661126213,0,-1.6876803785180518e-15,9.359786955432985e-16,34.247725557864094,-3.4739642019812117e-16,1.8206274913461777e-17,6.0000000000000036
319.6,314.7,207.7,116.9,97.6,147.5,133.6,130.1,151.5,120.5,112,130.5,93.2,100.3,134.7,86.5,124614012,771016,12:46:14:012,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815032377485801,-5.6046207292021695,-2.212192385499402,2.2929077566345577e-16,-2.4736864240632237e-17,12.314994110868302,6.677625405539551e-16,-6.478931604839778e-17,11.083494699781475,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592810460034742,3.940469374519904,-6.527367970838666,0,0,2.6750709001153723,-4.8584425047838384e-20,-2.012975956598408e-21,2.4075638101038357,-26.999999999999993,-14.99999999999999,10.999999999999996,37.51278382015111,17.288038938317765,-0.7934170387700252,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.097497342142823,10.06616859030311,-3.990072578787059,0,0,0,0,0,0,94.8817947770736,21.14541780481698,1.6184319912152174,2.4038731196621462e-15,8.378009620164983e-16,38.89054917831971,5.0780895576248334e-15,-1.8585911481914148e-15,6.000000000000003
316.3,316.4,210,116.2,98,147.2,133.2,130.1,152,122.8,111.4,129.2,93.4,100.4,135.7,86.3,124614013,771033,12:46:14:012,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.814836976902275,-5.585034021005099,-2.214196636867694,2.951625920685359e-16,7.281893788977244e-17,10.448553191399476,2.8479132726965523e-16,-2.342336158629576e-17,9.403697872259526,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592819892478968,3.9414965005166325,-6.527230729537314,0,0,1.8312156061200837,4.850458208326193e-20,-2.214420717377889e-21,1.6480940455080761,-26.999999999999993,-14.99999999999999,10.999999999999996,37.50670102446979,17.262557729015704,-0.8139003678948727,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.09673931693895,10.054491173618326,-3.9944119612641873,0,0,0,0,0,0,90.4203397862285,23.76362961604975,0.1484532567901044,1.589954906992824e-15,2.8184409825529423e-15,37.61761079972816,1.5880979209056966e-15,-8.322868531868243e-17,6.0000000000000036
316.6,317.9,209.8,116.6,98.4,145.6,132.9,128,151.3,123.2,112.4,130.7,93.4,99.9,134.8,86.8,124614014,771050,12:46:14:014,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815191983377119,-5.6205679638468435,-2.210560451154865,-1.6946058212125887e-16,-1.8428679929139637e-16,10.322918605855643,-5.200956804483641e-16,4.225992081765751e-17,9.29062674527008,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592802782092903,3.9396331020534348,-6.527479710647169,0,0,1.8304875838397945,-4.854820058470036e-20,-8.187564797581804e-22,1.6474388254558148,-26.999999999999993,-14.99999999999999,10.999999999999996,37.51774402111566,17.308783868276613,-0.7767355943183003,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.098115199940466,10.07567614729772,-3.986539278874095,0,0,0,0,0,0,90.69752185998978,23.60677563228164,0.24543552811254446,-4.771895633465246e-15,7.887304688107303e-16,37.6953861487451,3.0929671564927106e-15,-1.754555291543061e-15,6
316.1,317.6,210.2,116.5,97.6,148.4,133,129,150.8,122.2,111.2,129.2,93.5,100.3,134,87.2,124614015,771066,12:46:14:014,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.8138285936114,-5.482824940639291,-2.224653223112212,3.4561412975435685e-16,2.530090761091764e-16,15.8247197961766,5.686521301058577e-16,-2.7137223365524533e-16,14.24224781655895,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592869153835494,3.9468563334571445,-6.5265145601946735,-1.2135131104113288e-19,-3.1036389380071975e-18,4.4782129448105215,-1.9400559220291345e-19,6.826341405792565e-21,4.030391650329468,-26.999999999999993,-14.99999999999999,10.999999999999996,37.475127527970294,17.1295560163175,-0.9206965408044049,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.092798740316454,9.993554203058407,-4.017051004379205,-1.216934767745227e-15,-3.180478302338943e-17,0.514859277290025,1.996463533578301e-16,-7.535217322762988e-17,0.4633733495610226,93.39804759584095,22.038052118083986,1.1514978071748976,-9.572292260299603e-15,3.3392560261307778e-15,38.46224451706743,2.497430436153075e-15,-1.7233445345485557e-15,5.999999999999999
