Capacitance 1 (pF),Capacitance 2 (pF),Capacitance 3 (pF),Capacitance 4 (pF),Capacitance 5 (pF),Capacitance 6 (pF),Capacitance 7 (pF),Capacitance 8 (pF),Capacitance 9 (pF),Capacitance 10 (pF),Capacitance 11 (pF),Capacitance 12 (pF),Capacitance 13 (pF),Capacitance 14 (pF),Capacitance 15 (pF),Capacitance 16 (pF),Timecode(device), Timer(device), Timecode(master),hand_x, hand_y, hand_z,index_00_x, index_00_y, index_00_z,index_01_x, index_01_y, index_01_z,index_02_x, index_02_y, index_02_z,index_03_x, index_03_y, index_03_z,middle_00_x, middle_00_y, middle_00_z,middle_01_x, middle_01_y, middle_01_z,middle_02_x, middle_02_y, middle_02_z,middle_03_x, middle_03_y, middle_03_z,pinky_00_x, pinky_00_y, pinky_00_z,pinky_01_x, pinky_01_y, pinky_01_z,pinky_02_x, pinky_02_y, pinky_02_z,pinky_03_x, pinky_03_y, pinky_03_z,ring_00_x, ring_00_y, ring_00_z,ring_01_x, ring_01_y, ring_01_z,ring_02_x, ring_02_y, ring_02_z,ring_03_x, ring_03_y, ring_03_z,thumb_01_x, thumb_01_y, thumb_01_z,thumb_02_x, thumb_02_y, thumb_02_z,thumb_03_x, thumb_03_y, thumb_03_z
253.8,325.2,218.7,126.7,179.8,143,160.1,154.9,141.6,162.2,144,127,120.3,104.3,127.9,84.5,122442021,3010050,12:24:42:023,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788736053531265,1.3437753668356505,-2.9182621279904453,-1.0520900627895468e-16,4.690552856724028e-16,43.122528969173345,-6.391659770197858e-16,-6.178784145844266e-16,38.81027607225601,-7.999999999999999,-2.9999999999999996,6.719077555509599,7.777887178322311,3.9396141921489836,-3.8281114692886637,1.7560193825459714e-17,1.0300438570553903e-17,32.49421729663102,-3.136419901640378e-18,-1.2021633955993158e-17,29.244795566967934,-26.999999999999986,-14.999999999999993,10.285794447867444,35.79351259803795,4.674243984331163,-1.8387315647607243,6.628648013028781e-16,-2.113604032085291e-16,35.37069936912702,-1.3112475061544323e-15,1.2007737102218183e-15,31.833629432214316,-14.99999999999999,-8.99999999999999,6.482404194897058,19.992749002484,4.414700934718772,-0.8105177347213417,-1.4326540998963713e-16,4.126019073595565e-17,32.13261838589434,4.84248282650126e-16,2.8570326092996016e-16,28.91935654730492,90,27.531907964316932,0,-1.871937194088692e-15,-1.8996349843821467e-15,36.02837168153463,6.2010756268668766e-15,9.136694757566127e-16,12.631275065256716
253.6,325.3,218.5,126.8,179.9,142.9,160,154.8,141.7,162,143.9,126.7,120.2,104.3,127.9,84.5,122442022,3010066,12:24:42:023,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788758450332686,1.3531605901101922,-2.9192138455585233,-1.4157039416542705e-16,5.586584566922653e-17,43.0699027222749,0,0,38.762912450047416,-7.9999999999999964,-2.9999999999999987,6.72064806861205,7.776935333623185,3.942160085879982,-3.8428570418916865,5.381947480527136e-18,1.82043979391419e-18,32.447520560255526,0,0,29.20276850422998,-26.999999999999986,-14.999999999999996,10.28893448621645,35.7935054246096,4.677695095079486,-1.8733135015623508,-4.825896597113804e-16,-1.5152852011369098e-15,35.331385470902774,1.4181926481079749e-15,2.0763392458759396e-15,31.798246923812492,-14.999999999999986,-8.999999999999984,6.484905006872634,19.992134128122828,4.416626980758048,-0.8351715203877567,3.271200256500806e-16,-3.009471866722567e-16,32.09739546315517,-9.916600729279457e-17,-3.8500321982473064e-16,28.88765591683968,90.00000000000001,27.54881193478443,0,4.650672591383366e-15,1.6016553254284569e-16,36.02132836050648,7.9032062868364e-15,-8.740028025306409e-16,12.621210345715546
253.8,325.6,218.8,126.7,180.1,142.9,159.9,154.8,141.9,162.3,144,126.8,120.4,104.4,128,84.4,122442023,3010083,12:24:42:024,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788766913308718,1.3566900241454907,-2.919571753114813,6.974457649567174e-16,1.0071072077537951e-15,43.02582867453661,-3.954176270137547e-16,-1.1252543209190755e-15,38.723245807082954,-7.9999999999999964,-2.9999999999999996,6.7209719561561165,7.776741631246879,3.9427668395552447,-3.8458868374810513,-1.0540395757220757e-17,4.718688029540845e-17,32.42294202508092,-5.4352930821595016e-17,-1.1528016591277864e-17,29.18064782257284,-26.999999999999986,-14.999999999999996,10.289484524164376,35.79318972038136,4.675940821930838,-1.8810909740064377,-1.1883403763983798e-15,-4.560441389480322e-16,35.32944957925326,1.200348835681192e-15,1.311636458106779e-15,31.796504621327948,-14.999999999999996,-8.999999999999991,6.485372163624037,19.991944234567892,4.4159707767497824,-0.840149609991457,5.946599378490698e-16,4.495153882727453e-16,32.08747131086896,-1.2541688424425011e-15,-8.760295328630352e-17,28.878724179782086,90,27.554932819208585,0,-1.8149882535332775e-15,-1.0821513384846881e-15,36.01877799199644,-1.2163381353917919e-16,1.6134115284096164e-15,12.616654970114027
254,325.7,218.5,126.5,179.5,142.8,159.9,154.8,141.7,162,144.1,126.7,120.1,104.2,128.1,84.6,122442024,3010100,12:24:42:025,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.7887598450996895,1.3537429033225552,-2.9192728958317287,1.5996533224143633e-16,-9.172967403284731e-16,42.92975828731212,1.9384351689207947e-17,1.2570751806028288e-15,38.636782458580946,-7.999999999999996,-2.9999999999999996,6.722320805510492,7.775905044408813,3.944388805420306,-3.8586286138920314,-1.0517229321935298e-17,-2.5095100155150912e-17,32.36739640332599,1.2024752019866705e-17,-3.124444211696745e-18,29.130656762993407,-26.999999999999986,-14.999999999999986,10.291538957465736,35.7946965261186,4.68956286234934,-1.8954325622084203,-1.376505091338757e-16,8.782705840025658e-16,35.31520181221806,5.470220518190672e-16,-9.824753864835979e-16,31.78368163099626,-14.99999999999999,-8.999999999999993,6.487109493716676,19.991915170528763,4.422721319073129,-0.8552913391827879,4.969178980817075e-16,-9.700529025027103e-16,32.05641456009753,3.8503511777617545e-16,-9.904208376690806e-17,28.850773104087775,89.99999999999997,27.554695648334366,-1.7937421697415812e-15,6.42754128123673e-15,-2.0896054226296454e-15,36.01887681319401,-8.22260935681055e-15,2.508439277954043e-15,12.609643756742699
254.2,325.8,218.9,126.9,179.7,143.3,160.1,155.1,141.8,162.4,143.9,126.8,120.1,104.5,128.1,84.5,122442025,3010116,12:24:42:026,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.78875531897593,1.35185233861595,-2.9190811806180648,-8.883654516507343e-16,-7.786379782600264e-17,42.93344743319641,-1.9420774785798508e-17,-1.2570746184235698e-15,38.64010268987676,-7.999999999999999,-2.9999999999999996,6.722294114414449,7.775918337793787,3.944256771589767,-3.858390171057135,1.1463408931486296e-18,5.409271902415294e-17,32.37036547226683,2.187307231336548e-17,8.417275410349638e-17,29.13332892504015,-26.999999999999993,-14.99999999999999,10.291631213852291,35.79505703654161,4.692374103575088,-1.8944729485305363,8.523827849051659e-16,-2.7134720452530943e-16,35.31666716221082,3.292752759564177e-16,-1.7472278953244533e-15,31.785000445989738,-14.99999999999999,-8.999999999999991,6.4871384051932095,19.99199224134243,4.423886865943693,-0.855156966910338,5.995594449984085e-16,-7.927244626283954e-16,32.057754776911885,9.904613665579674e-17,3.8503407523408325e-16,28.851979299220687,90,27.552468506451074,-5.3811173727873326e-15,1.8904483409288259e-16,-6.146051392760767e-17,36.019804788978746,0,0,12.612800281390204
253.8,325.6,218.5,126.7,179.6,142.7,160,154.9,141.9,162.1,143.8,126.8,120.1,104.1,128,84.5,122442026,3010133,12:24:42:027,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788744141396605,1.3471720796980742,-2.9186065740647105,-4.275073716849099e-16,5.945684182041008e-16,42.803639720310116,6.376164663964141e-16,6.194772983485131e-16,38.523275748279104,-7.9999999999999964,-2.9999999999999987,6.723801431409305,7.774980740058219,3.9459978957617703,-3.8726387026134153,1.0604183963842095e-17,-2.4637126775869625e-18,32.292391313162355,7.7934000640895e-18,3.00664762694539e-17,29.06315218184612,-26.999999999999986,-14.999999999999982,10.2952995961372,35.79764229438689,4.715974100457014,-1.9206090710689565,5.155397732500647e-17,8.179871860870696e-16,35.285126935898504,-1.4174381920647477e-15,-2.0768543576255896e-15,31.756614242308675,-14.999999999999986,-8.999999999999988,6.489810559252593,19.991950102125298,4.434355225088026,-0.8784150917991288,-2.2477636969997134e-16,4.780718576898252e-16,32.00858644623328,6.712471480231776e-16,-5.828671784032561e-16,28.807727801609975,89.99999999999999,27.552652663688967,0,-9.638792291443606e-16,2.8216819890360745e-15,36.019728056796254,-9.648777017633499e-16,-1.4933983213449675e-15,12.602526064859052
253.7,325.1,218.4,126.5,179.5,142.8,159.7,154.6,141.7,161.8,143.8,126.8,120.1,104.4,128,84.3,122442027,3010150,12:24:42:028,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788822282180495,1.3795583026067166,-2.921890770773837,-9.43166817958187e-16,1.6488891914428797e-15,42.67295951007826,-3.7544862318110247e-16,1.3076585039382006e-16,38.405663559070405,-7.9999999999999964,-2.9999999999999996,6.727596130921912,7.77269142451271,3.952645938588817,-3.9081996222024755,2.0159425814540805e-17,1.3827007140667187e-17,32.225934369685305,-3.027859656708713e-17,-1.7834267355232974e-17,29.003340932716803,-26.99999999999999,-14.99999999999999,10.2998755210107,35.79450238726801,4.697566282950708,-1.9880979183929972,8.616863246781129e-18,1.6660968370856267e-15,35.30069849167823,-1.9648261389542524e-15,-1.0942679217503693e-15,31.770628642510427,-14.99999999999999,-8.999999999999988,6.494145543443408,19.99019966572457,4.428461379803992,-0.9245379838839197,7.446206416920071e-16,6.136940561897482e-16,31.994301503036354,9.8854238455914e-17,3.8508338813444786e-16,28.79487135273272,90,27.57293275492636,-1.7940402176975124e-15,5.671482205588622e-16,-1.843393407332696e-16,36.01127801878068,1.2207814814341617e-16,-1.6133779688427045e-15,12.585096050791684
253.6,324.9,218.6,126.5,179.6,142.9,159.8,154.6,141.6,161.9,143.6,126.5,119.9,104.1,127.9,84.2,122442028,3010166,12:24:42:028,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788946882294091,1.4296818268015015,-2.9269738357750947,4.543307991853334e-16,-1.7714356405636636e-16,42.601617393768265,5.060772935462197e-16,2.449663762897722e-16,38.34145565439143,-7.999999999999999,-2.9999999999999987,6.730978273331154,7.7706824008697275,3.9596617903464417,-3.939745372988368,-8.706626975911475e-18,7.074262054102756e-17,32.1492811381619,2.4060173550257075e-17,-6.2076807115607774e-18,28.934353024345707,-26.999999999999993,-14.999999999999993,10.305499802308557,35.78896909550335,4.661970469491753,-2.080499150744961,-1.1443383478671357e-15,-1.305195284582489e-15,35.22698997233729,1.0954051867028153e-15,-1.9641923321900826e-15,31.704290975103568,-14.999999999999986,-8.999999999999993,6.498843457431558,19.98768270991904,4.413455043776688,-0.9776822951382791,2.7096587111840348e-17,-6.280280373211071e-16,31.92885136624616,-3.8513415269990667e-16,9.865627553242367e-17,28.73596622962156,89.99999999999999,27.595234559924496,0,-1.6257752651952281e-15,-1.1438484139187765e-15,36.001985600031475,-8.419302072904455e-16,-3.1070971192200328e-15,12.561411377605683
253.7,325.1,218.7,126.7,179.6,142.8,159.7,154.9,141.5,162.1,143.7,126.6,120.2,104.1,127.9,84.3,122442029,3010183,12:24:42:029,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.788947253661941,1.4298285898784924,-2.926988719454974,-3.629082809180541e-16,-7.120847281692733e-16,42.412166711200314,-7.514313562457989e-16,2.599931190662883e-16,38.17095004008029,-7.9999999999999964,-2.9999999999999996,6.730991439663954,7.770674493096464,3.9596866210140518,-3.9398685177931654,-1.6190064580343755e-17,-1.7015659006533584e-17,32.00936331447774,-4.635927716103266e-18,-1.805023553714677e-17,28.808426983029992,-26.99999999999999,-14.999999999999993,10.306511207473065,35.7894369741543,4.666670998800918,-2.089024206239459,-1.7561195387815177e-15,-2.7797786074772233e-16,35.14055158592292,-1.5300933103903145e-15,4.333549145258188e-16,31.626496427330622,-14.999999999999993,-8.999999999999988,6.49944587661824,19.98762150734064,4.4151249987016525,-0.983178942615708,4.1078237475909344e-17,-2.1841876863650405e-16,31.827588148151367,0,0,28.644829333336236,89.99999999999999,27.61378043715823,3.589417616769022e-15,-2.457760905405424e-15,7.984387763616889e-16,35.99425815118406,-7.15341190853236e-16,1.678527544760565e-15,12.5508311034098
253.8,325.5,218.5,126.5,179.5,142.9,159.8,154.8,141.8,162,143.8,126.7,120.2,104.5,128.1,84.2,122442030,3010200,12:24:42:030,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.789073272375514,1.4787889594863168,-2.931954044051823,2.537350713481621e-16,3.280405343831108e-16,42.37329137081241,-2.597636752633989e-16,-7.515107039323321e-16,38.135962233731185,-7.9999999999999964,-2.9999999999999987,6.731277585964489,7.770577659228287,3.9625751828824214,-3.9422232574398794,-1.9027822916540645e-17,-6.638714689554254e-17,31.986625541680617,-2.1299450483460308e-17,-3.3013656822829516e-17,28.787962987512582,-26.999999999999993,-14.999999999999996,10.305349971378103,35.780841413686694,4.599727811876382,-2.1240810398214816,5.685291304048039e-16,-1.8003534238092735e-16,35.14272231567393,-1.4151144622186508e-15,-2.0784383825198665e-15,31.628450084106543,-14.999999999999993,-8.999999999999991,6.49901745272146,19.985630270541353,4.385846101709905,-0.9895700952193602,0,0,31.821266605628487,0,0,28.639139945065644,89.99999999999997,27.627693715507398,0,-1.324880648402679e-16,8.790641581044605e-16,35.98846095187193,-2.0234937435779703e-15,3.4222230636650885e-15,12.549801695296422
