Capacitance 1 (pF),Capacitance 2 (pF),Capacitance 3 (pF),Capacitance 4 (pF),Capacitance 5 (pF),Capacitance 6 (pF),Capacitance 7 (pF),Capacitance 8 (pF),Capacitance 9 (pF),Capacitance 10 (pF),Capacitance 11 (pF),Capacitance 12 (pF),Capacitance 13 (pF),Capacitance 14 (pF),Capacitance 15 (pF),Capacitance 16 (pF),Timecode(device), Timer(device), Timecode(master),hand_x, hand_y, hand_z,index_00_x, index_00_y, index_00_z,index_01_x, index_01_y, index_01_z,index_02_x, index_02_y, index_02_z,index_03_x, index_03_y, index_03_z,middle_00_x, middle_00_y, middle_00_z,middle_01_x, middle_01_y, middle_01_z,middle_02_x, middle_02_y, middle_02_z,middle_03_x, middle_03_y, middle_03_z,pinky_00_x, pinky_00_y, pinky_00_z,pinky_01_x, pinky_01_y, pinky_01_z,pinky_02_x, pinky_02_y, pinky_02_z,pinky_03_x, pinky_03_y, pinky_03_z,ring_00_x, ring_00_y, ring_00_z,ring_01_x, ring_01_y, ring_01_z,ring_02_x, ring_02_y, ring_02_z,ring_03_x, ring_03_y, ring_03_z,thumb_01_x, thumb_01_y, thumb_01_z,thumb_02_x, thumb_02_y, thumb_02_z,thumb_03_x, thumb_03_y, thumb_03_z
317.5,313.8,209.5,116.5,99.2,147.5,133.1,128.8,150.8,121.4,111.7,129.9,94,100.8,134.7,86.7,124517020,714066,12:45:17:017,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815232659893996,-5.624624865328366,-2.2101452804051527,7.13904880942022e-16,4.1520376665592436e-17,9.321560807387193,-1.6322942917416878e-16,-1.8734694702607888e-16,8.389404726648479,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592800829122335,3.9394203582313296,-6.527508136698069,-4.8525443445076007e-20,7.61173367705165e-22,1.7973434935285573,1.4555832474941745e-19,-3.571639654887674e-21,1.6176091441757021,-26.999999999999993,-14.99999999999999,10.999999999999996,37.519006971845236,17.31406106173573,-0.7724913120908868,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.098272478007946,10.078094819519235,-3.985640390598118,6.7670425752255615e-16,-1.3356670360691728e-17,0.1579271129357124,-5.335369274166005e-17,2.4914280204381587e-17,0.14213440164214133,89.99999999999994,27.115113918681015,-3.573285137025852e-15,7.238077961867816e-15,-1.5293720783750647e-15,36.202035867216246,-1.0757898858847429e-15,-1.53607999258152e-15,5.999999999999999
317.7,314,209.3,116.4,99.2,147.4,133.2,128.7,151.2,121.3,111.9,130,94,101,134.6,86.7,124517021,714083,12:45:17:017,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815233365589959,-5.6246952221780635,-2.2101380802514345,-7.909519130544152e-16,6.460092234355092e-17,9.338526388735998,8.673447688660246e-17,-6.37293849027291e-18,8.4046737498624,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592800795253863,3.939416668719576,-6.527508629676997,0,0,1.8034979962790936,4.8505062999144713e-20,-2.203861527966341e-21,1.6231481966511832,-26.999999999999993,-14.99999999999999,10.999999999999996,37.51902887851229,17.314152580725196,-0.7724177034364101,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.098275205954717,10.078136765343665,-3.9856248015007196,5.470714172322043e-16,1.787704605640888e-17,0.15899000469196434,2.706497327184023e-16,3.072216679099839e-17,0.14309100422276774,89.99999999999999,27.105265720394048,0,-1.3807392033677448e-15,-3.85171577215746e-16,36.20613928316915,-2.9776836016981814e-16,1.5605378497252956e-17,6.0000000000000036
317.5,313.8,209.2,116.3,99.1,147.4,133.1,128.7,151.2,121.4,112,130.3,94,100.8,135.1,86.7,124517022,714100,12:45:17:017,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815233134476191,-5.624672180573836,-2.210140438274948,-1.6978605355575554e-16,-2.8529477323894985e-16,9.344670237741472,-6.567015673141641e-16,4.828393689088875e-17,8.41020321396732,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592800806345659,3.93941787702083,-6.527508468228249,-4.852538485107406e-20,7.648996614762093e-22,1.8061430436179318,0,0,1.6255287392561386,-26.999999999999993,-14.99999999999999,10.999999999999996,37.519021704146276,17.314122608602567,-0.7724418100025777,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.098274312561074,10.078123028243663,-3.9856299068720618,1.077396323858172e-16,-1.5001809539364162e-19,0.15955870595339827,-9.419047083636024e-16,-5.0316573192388775e-18,0.14360283535805862,89.99999999999999,27.103611731499225,0,1.138023855178461e-14,-3.741849761074522e-16,36.20682844520866,-2.9776836016981804e-16,1.5605378497252953e-17,6
317.5,313.3,209.2,116.3,98.9,147.2,133.1,128.5,151.2,121.3,111.9,130.1,94.2,100.9,134.9,86.8,124517023,714116,12:45:17:019,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815222513598667,-5.623613195717266,-2.21024881208865,-7.007382970537756e-16,-2.417833942428267e-16,9.364400870586438,4.4383980437499563e-16,-2.320259658006347e-16,8.427960783527789,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.5928013161247145,3.939473410164428,-6.527501048094302,0,0,1.8111353323943715,-4.850493071656107e-20,2.206771027328947e-21,1.6300217991549353,-26.999999999999993,-14.99999999999999,10.999999999999996,37.51869198806916,17.312745096211472,-0.7735497316791681,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.098233253854268,10.077491675385515,-3.985864547655501,-2.164932630301081e-16,-3.0757824417580736e-17,0.160015010942096,2.0965553853182888e-16,-2.634857760526237e-19,0.1440135098478865,89.99999999999999,27.088190323946087,0,-1.627881374051001e-15,-1.140849086848448e-15,36.21325403168913,-2.8174092543189444e-16,-1.5776943352408613e-15,5.999999999999999
318.1,314.2,209.5,116.4,99.2,147.7,133.1,128.9,151.3,121.6,112,129.8,94.1,101.1,134.9,86.8,124517024,714133,12:45:17:019,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.8152113016840135,-5.622495059894051,-2.2103632388313095,-5.334657256862626e-16,1.4401993778795255e-16,9.491067067055866,1.7103887893415698e-16,-2.1211159524160603e-16,8.541960360350286,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592801854385986,3.9395320451822613,-6.527493213498269,4.852504442965212e-20,-7.86199425885133e-22,1.8564421136871587,-4.8526254433959234e-20,7.075853641971241e-22,1.6707979023184425,-26.999999999999993,-14.99999999999999,10.999999999999996,37.51834388824511,17.31129063450928,-0.7747195197060023,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.09818990469867,10.07682505733146,-3.986112293600639,-8.751414532021863e-17,2.497641421521632e-17,0.1680020054299238,2.5237952116872855e-16,1.2091041438616435e-17,0.1512018048869316,89.99999999999999,27.025695904270048,0,-2.7496418182068064e-16,4.2731152976418766e-15,36.23929337322082,-2.145396748511357e-16,1.6037032994029496e-15,6
317.9,313.9,209.8,116.4,99.2,147.6,133,128.8,151.2,121.6,111.7,130,94,100.8,134.7,86.4,124517025,714150,12:45:17:020,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815269358332876,-5.628282460435269,-2.209770968445686,-4.565661852455083e-16,3.78999535795241e-17,9.490585000112251,1.8342922545448253e-16,-2.1303616450751003e-16,8.54152650010103,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592799068466708,3.939228554012477,-6.527533764863248,5.0539396256242034e-20,3.1055992284311087e-18,1.8646569043855539,-4.852620868039028e-20,7.107162191679007e-22,1.678191213946998,-26.999999999999993,-14.99999999999999,10.999999999999996,37.52014599700278,17.318818763574168,-0.7686645702712748,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.098414309813364,10.08027542850907,-3.984829965078125,-5.841419528955773e-16,-1.1553542548764433e-17,0.17076904717388594,-7.683236443243173e-16,1.9666568669132943e-17,0.15369214245649712,89.99999999999999,27.033032204615996,0,-3.917609996853155e-16,2.638045725840772e-15,36.236236581410004,-2.817409254318945e-16,-1.5776943352408613e-15,6
317.7,313.9,209.2,116.4,99.3,147.4,133.2,128.7,151.5,121.4,112,130.3,94.3,101.2,135,86.9,124517026,714166,12:45:17:022,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815236745800985,-5.625032211846342,-2.210103593500943,-1.3619198877342543e-15,1.1354141943170683e-16,9.531302199223152,3.8406665469754093e-16,-2.880454517350978e-17,8.57817197930084,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592800633033776,3.9393989969882197,-6.527510990908387,-5.080398034095453e-20,-3.1055949114118802e-18,1.8744196334388574,2.8021843177529003e-21,-3.10638829575688e-18,1.6869776700949717,-26.999999999999993,-14.99999999999999,10.999999999999996,37.519133807190876,17.314590930764087,-0.7720651375133315,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.09828827222385,10.078337674123109,-3.9855501340197086,4.0860612117207923e-16,-1.92481944311039e-17,0.1716633453417888,-4.672432689547112e-16,1.3054009818858358e-17,0.15449701080760986,90,27.006488800097912,0,1.1699530276363248e-14,-1.3194007382498635e-15,36.247296333292546,-2.817409254318945e-16,-1.5776943352408615e-15,6
318,314.4,209.7,116.6,99.2,147.5,133.2,129,151.5,121.6,112.1,130.3,94.1,101,134.9,86.9,124517027,714183,12:45:17:022,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815195010637297,-5.6208699922887995,-2.2105295426987137,-7.072231673833078e-16,5.95203546481778e-17,9.621425507578886,6.663650674973978e-16,-2.49804522620793e-16,8.659282956821,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592802636694375,3.93961726368932,-6.527481826911919,0,0,1.895363014979586,2.291217782869243e-21,-3.106388714661021e-18,1.7058267134816274,-26.999999999999993,-14.99999999999999,10.999999999999996,37.5178380299872,17.309176748151952,-0.7764196241492451,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.098126907618507,10.075856212828297,-3.98647235885332,-7.817149902473394e-16,1.9815624746709274e-17,0.1729087133692623,6.441251913276196e-16,1.1549316553236896e-17,0.15561784203233622,89.99999999999999,26.931217593493507,0,-1.6285322700930302e-15,-1.1399197569174564e-15,36.27865933604436,-1.9851224011321203e-16,1.0403585664835299e-17,5.999999999999997
317.8,313.8,209.3,116.1,99,147.3,132.8,128.9,150.8,121.3,111.8,129.9,94.1,100.8,134.6,86.5,124517028,714200,12:45:17:023,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815205949015704,-5.621961172155845,-2.2104178751816046,1.715645106569846e-16,-3.136486433620588e-16,9.608996614327259,4.2381418163486055e-16,1.6730646318227867e-16,8.648096952894534,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592802111397943,3.9395600422430057,-6.527489472633303,-4.8524799213989756e-20,8.011914121814388e-22,1.8918456754947472,-4.614902366548417e-20,-3.1056675716857665e-18,1.702661107945274,-26.999999999999993,-14.99999999999999,10.999999999999996,37.51817768941014,17.310596155433544,-0.7752780638120087,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.098169207398925,10.076506760336333,-3.9862305870257693,-5.674005985574264e-16,1.948979494373245e-17,0.17241439465298664,8.528100309924672e-16,1.1269228669940455e-17,0.15517295518768812,90.00000000000004,26.937427717526724,0,3.647856977300514e-15,-3.58268693543472e-16,36.276071784363886,5.955367203396363e-16,-3.121075699450591e-17,6.0000000000000036
317.6,313.7,209.3,116.5,99.1,147.4,133.3,128.9,151.2,121.5,112,130,94,100.9,134.8,86.8,124517029,714216,12:45:17:024,0,0,0,5.604470985651409e-16,3.9999999999999982,2.999999999999998,-5.815197540935713,-5.621122426417265,-2.210503709513569,6.103476561054645e-16,4.810795906349473e-17,9.672174831501145,-1.7343495804635861e-16,1.3200402669287867e-17,8.70495734835104,-7.999999999999999,-2.9999999999999996,6.999999999999999,7.592802515171338,3.9396040260497234,-6.527483595677236,0,0,1.9143709715488118,1.804668779337694e-21,-3.1079054573304472e-18,1.722933874393931,-26.999999999999993,-14.99999999999999,10.999999999999996,37.517916604110574,17.30950511515636,-0.7761555365453386,0,0,0,0,0,0,-14.999999999999993,-8.999999999999993,6.999999999999996,20.09813669301656,10.076006710847917,-3.986416427317824,3.7427979336169134e-17,-2.4905693421468174e-17,0.17629169168014008,1.0189866736011437e-16,-1.2565141773617462e-17,0.15866252251212626,90,26.90364170993873,0,-1.7000937939420757e-15,5.571570347982536e-16,36.29014928752555,-1.1528355479452976e-16,1.5985015065705323e-15,6
