Capacitance 1 (pF),Capacitance 2 (pF),Capacitance 3 (pF),Capacitance 4 (pF),Capacitance 5 (pF),Capacitance 6 (pF),Capacitance 7 (pF),Capacitance 8 (pF),Capacitance 9 (pF),Capacitance 10 (pF),Capacitance 11 (pF),Capacitance 12 (pF),Capacitance 13 (pF),Capacitance 14 (pF),Capacitance 15 (pF),Capacitance 16 (pF),Timecode(device), Timer(device), Timecode(master),hand_x, hand_y, hand_z,index_00_x, index_00_y, index_00_z,index_01_x, index_01_y, index_01_z,index_02_x, index_02_y, index_02_z,index_03_x, index_03_y, index_03_z,middle_00_x, middle_00_y, middle_00_z,middle_01_x, middle_01_y, middle_01_z,middle_02_x, middle_02_y, middle_02_z,middle_03_x, middle_03_y, middle_03_z,pinky_00_x, pinky_00_y, pinky_00_z,pinky_01_x, pinky_01_y, pinky_01_z,pinky_02_x, pinky_02_y, pinky_02_z,pinky_03_x, pinky_03_y, pinky_03_z,ring_00_x, ring_00_y, ring_00_z,ring_01_x, ring_01_y, ring_01_z,ring_02_x, ring_02_y, ring_02_z,ring_03_x, ring_03_y, ring_03_z,thumb_01_x, thumb_01_y, thumb_01_z,thumb_02_x, thumb_02_y, thumb_02_z,thumb_03_x, thumb_03_y, thumb_03_z
260.7,338.8,220.4,135,187.4,151,164.8,156.9,148.8,168.8,147.4,132,122.2,105.5,133.6,74,120712051,1427433,12:07:12:050,0,0,0,1.8183394753446793e-15,3.9999999999999973,1.5095522043800402,-5.086975710985623,-4.2482684973674445,11.805556413245174,-5.502232871779032e-17,-2.972402672974796e-16,39.89933655596281,3.449342920446536e-16,9.718643113814666e-17,35.90940290036653,-7.9999999999999964,-2.9999999999999996,5.520506525803491,8.3148398104908,1.9868153064119243,7.410806383531331,0,0,36.04536608249103,-2.3587986032584236e-18,-2.5485672733956657e-18,32.440829474241916,-26.999999999999993,-14.999999999999996,10.404677545439014,37.475778127588406,13.866519303291401,3.707562253710344,-3.0678464789897185e-16,1.0113547966415328e-16,36.49092865687842,-1.5657373382297707e-16,8.750951646911066e-16,32.84183579119059,-14.99999999999999,-8.999999999999991,5.901894335620601,20.439544991086546,6.44464854559397,5.839526668157761,-8.306344432672634e-16,-1.5424760585676512e-16,35.105149089601625,3.825534364540695e-16,-1.0823236362099254e-16,31.5946341806415,89.99999999999994,27.760162257383477,0,-8.687242342222017e-16,-1.3900940981090907e-15,35.93326572609021,-1.2697846725854924e-15,3.2751050473157448e-15,7.846241465293233
261.2,339.7,220.3,134.5,187.8,151.8,164.6,157.2,148.8,169.1,147,131.5,121.9,105.3,133.5,73.9,120712052,1427450,12:07:12:050,0,0,0,3.5432711009285018e-15,3.9999999999999982,1.5189546878365068,-5.093014487790822,-4.25949388704708,11.717462445021312,-1.838842199023664e-16,7.551117626119541e-17,44.650540760828704,0,0,40.18548668474583,-8,-2.9999999999999996,5.444088920353769,8.338933297217713,1.8813630365531928,8.129483870716712,-2.4689044215725533e-18,-2.442055886931503e-18,37.496370799211654,0,0,33.74673371929052,-26.999999999999993,-14.999999999999986,10.328215655178985,37.455074545519366,13.44332457265267,4.293490539450877,-1.1423325693780178e-15,1.215148578189896e-15,36.589881100858975,-3.8126535162787663e-16,1.1268588166170677e-16,32.93089299077312,-14.999999999999993,-8.999999999999993,5.81376085470978,20.44048888169752,6.157639874201674,6.62626192708532,-7.569515156761335e-16,2.4345411893583264e-16,35.65812136904281,3.0093266691177394e-16,3.2713338309109183e-16,32.09230923213854,90,27.479863642754214,0,1.1209700593958882e-14,-2.8114899161374923e-15,36.050056815519085,-4.123033443807635e-16,-1.5645758200910482e-15,8.287051539264256
261.3,339.2,220.1,134.5,187.8,151.3,164.5,157.1,148.8,168.9,147.6,132,122.1,105.6,133.8,74.1,120712053,1427466,12:07:12:052,0,0,0,2.9890511923474182e-15,3.999999999999998,1.519573422782008,-5.093381536206901,-4.260006663493323,11.711643994815583,-3.666622449658904e-16,1.53688562991453e-16,45.482542686948456,-3.2525410747432895e-16,-3.029628457721064e-16,40.93428841825361,-7.9999999999999964,-2.9999999999999987,5.42412512065739,8.345015981864673,1.8538142773214634,8.317228335877106,1.4659726270091163e-18,-5.12590925018627e-19,38.545305420588576,4.629991598240262e-19,1.4823821968553546e-18,34.69077487852974,-26.999999999999982,-14.999999999999982,10.289495801437507,37.44224047232091,13.22650644389423,4.587796498017659,-6.579514345884876e-17,-8.169650226771633e-16,37.28136407424568,-1.6737290911409517e-15,1.3350696017529606e-15,33.55322766682111,-14.99999999999999,-8.999999999999986,5.77890710295488,20.439636873038438,6.04325371552826,6.936933122322465,6.429063433535257e-17,-4.3982204888342457e-16,36.497567707911045,7.826405176810255e-17,-4.375516638616465e-16,32.847810937119945,89.99999999999994,27.41272427804195,-3.5828630443288895e-15,1.8901358010555012e-16,-6.155656427330832e-17,36.078031550815865,-1.172911494376356e-15,1.6801142621080888e-15,8.348843229590013
260.9,339.4,219.9,134.2,187.5,151,164.5,156.8,148.3,168.8,147,131.7,121.8,105.5,133.8,73.8,120712054,1427483,12:07:12:052,0,0,0,2.4659672336866198e-15,3.9999999999999956,1.5115774579240977,-5.089429130325927,-4.259401746318015,11.78740521565247,3.732799898948729e-16,-2.656827328093465e-16,45.82524652545916,-9.39921733940118e-17,-8.142028743018163e-16,41.242721872913236,-7.999999999999999,-2.9999999999999996,5.404770726309841,8.350784833303443,1.8267871342329638,8.499191903261183,-1.0286163238111833e-18,-2.930742099979972e-18,38.67956523538129,-2.9637863043449973e-18,9.291240715764913e-19,34.811608711843185,-26.99999999999999,-14.99999999999999,10.266980156287586,37.436350968260136,13.10859359879108,4.7652826365849235,-2.587498930009748e-16,8.807491273506938e-17,37.59573914448469,-9.097010851789722e-16,1.1078094724435505e-15,33.83616523003621,-14.99999999999999,-8.99999999999999,5.756474488461867,20.439290777541252,5.973177390309816,7.138198692190169,-3.301880029908252e-16,1.0950627330717083e-16,36.69602317027463,4.94174959643038e-16,2.6816760023800517e-16,33.02642085324718,90.00000000000001,27.436856252689733,5.375469254883795e-15,2.6462657303721103e-15,-8.6155970302155065e-16,36.067976561379275,6.939034315256509e-16,-5.060625028296913e-17,8.342371996795366
260.3,338.3,219.6,133.5,186.6,151.3,164.2,156.5,148.5,168.3,146.7,131.6,121.7,105.1,133.4,73.6,120712055,1427500,12:07:12:053,0,0,0,3.163412511901017e-15,3.999999999999994,1.5013528851309017,-5.079437221618326,-4.221493756258312,11.88077348855475,1.0924869239817497e-17,-2.2197933984699296e-16,47.494945093796616,1.3278359530331892e-16,-4.788939519897845e-16,42.74545058441701,-8,-2.9999999999999987,5.3668523983502485,8.362139358302679,1.7759050129619307,8.855985067830648,1.4615869629995776e-18,-5.249654742372411e-19,39.514037498305285,-1.4788166404841568e-18,4.742642126268993e-19,35.56263374847479,-26.999999999999986,-14.999999999999993,10.23765976361228,37.41468900355345,12.90299748119953,4.955070688914793,-7.286287805743822e-16,2.4989535492189614e-16,37.860514710699235,-3.801218326586116e-16,1.1648505747117514e-16,34.07446323962934,-14.99999999999999,-8.999999999999988,5.717003551416324,20.434370148366398,5.825606023867619,7.483051344988384,6.166973102892735e-17,-4.4019718833958407e-16,37.180126668596905,0,0,33.46211400173723,89.99999999999999,27.291706632539476,0,-8.873599277069218e-16,1.1257842823167432e-15,36.12845556977523,-5.108541392232582e-16,-1.5575851325565294e-15,8.244249902394282
260.1,338,219.2,133,187,151.1,164.1,156.3,148.6,168.2,146.9,131.9,121.8,105.4,133.6,73.7,120712056,1427516,12:07:12:054,0,0,0,2.6216469832880473e-15,3.999999999999998,1.493213184524509,-5.0741692230871305,-4.21177584166521,11.957036343323102,-3.8236699249003396e-16,6.062136223782758e-16,48.13680998265698,-4.2387200014411676e-16,-2.594290421828201e-16,43.32312898439126,-7.9999999999999964,-2.9999999999999987,5.339369667994217,8.370033540117657,1.7380348621338355,9.114431724934787,-1.459715131565932e-18,5.301480304866885e-19,39.92062097246136,-1.477294635698248e-18,4.78984090433745e-19,35.92855887521524,-26.999999999999982,-14.999999999999998,10.208666034073158,37.40204538696925,12.736365240803845,5.171648977623176,-1.1974989689294761e-15,4.146377931223579e-16,38.197145719702135,-1.4483322850773427e-16,8.771147116022224e-16,34.37743114773196,-14.999999999999986,-8.99999999999999,5.686605054128118,20.431828379975382,5.723959408470977,7.753141430400306,-1.0348999022500087e-15,3.5259232893501594e-16,37.62814499597977,-7.437576288572483e-17,4.3822935346964376e-16,33.8653304963818,89.99999999999997,27.40600990715554,3.582645324887919e-15,-6.598108539466049e-15,-3.597483817458026e-16,36.08082920535186,-1.3880556102615892e-15,9.774191641477926e-17,8.055830826106284
259.9,338.2,219.2,132.8,186.9,151,163.8,156.5,148.6,167.9,146.4,131.8,121.7,105.3,133.3,73.8,120712057,1427533,12:07:12:054,0,0,0,2.802235492825704e-15,3.999999999999998,1.4817835131738861,-5.0666428338531775,-4.197343850325113,12.06404898181545,5.433584288495072e-16,-2.45763533550556e-16,48.67491961456173,-2.766522225057717e-16,1.112343109785917e-16,43.80742765310557,-7.9999999999999964,-2.9999999999999987,5.320217830755825,8.375456546302066,1.7117807553598587,9.294552093557279,1.4577601650540867e-18,-5.35500234111007e-19,40.34106440874766,0,0,36.306957967872904,-26.999999999999982,-14.999999999999993,10.194939544481315,37.39447442493342,12.652221381064436,5.269981935707136,6.569987079957842e-16,-2.289446713567419e-16,38.42387794514218,-1.4327107702803654e-16,8.773712326468476e-16,34.58149015062794,-14.99999999999999,-8.999999999999988,5.668975264469834,20.429809187477773,5.662933827078726,7.9089719769489175,1.4096755570104054e-16,-4.853379522291956e-17,37.99620149233025,-4.96887560915752e-16,-2.631074008134396e-16,34.196581343097236,89.99999999999994,27.47094211743112,0,5.670798196070809e-15,-1.845496540757007e-15,36.05377411773703,-1.5864493783487006e-15,1.1027416008246707e-16,7.952472493142034
259.7,338.3,218.7,132.9,187.1,150.5,163.3,156.3,148.2,167.5,146.3,131.1,121.7,105.2,133.3,74,120712058,1427550,12:07:12:055,0,0,0,1.955337654993936e-15,3.999999999999998,1.462009079619276,-5.053420130012885,-4.171396097738922,12.249097570276485,-1.2580309435007528e-16,-1.617363117105675e-16,47.681093696324496,5.550240489564262e-16,-2.1814307622538596e-16,42.912984326692055,-7.9999999999999964,-2.9999999999999987,5.318326262448877,8.376060487908632,1.7096845921431048,9.312415455611147,1.4597845889941312e-18,-5.299567466187188e-19,39.90560503225663,0,0,35.915044529030986,-26.99999999999999,-14.999999999999993,10.188543932050852,37.38810863535971,12.602233468263528,5.307270406282916,-1.2474392421307817e-15,-4.065495212365233e-16,38.50556493455334,-1.2812886109509213e-15,1.2326909673570047e-15,34.655008441098005,-14.999999999999993,-8.999999999999991,5.673651924470458,20.429264848952094,5.672080807258252,7.864962858091869,2.818958162536652e-16,-9.718164916765335e-17,38.042563498860396,0,0,34.238307148974336,90,28.029441345292085,0,-1.2132998224680796e-15,2.063402149574663e-15,35.82106610612829,-3.966776367470163e-16,2.6612568132493928e-17,7.676290369088765
259.9,338,218.4,132.4,186.7,150.7,162.6,156,147.7,166.6,145.9,130.7,121.4,104.9,132.8,73.3,120712059,1427566,12:07:12:056,0,0,0,2.5842838433837052e-15,3.999999999999998,1.5517533356892725,-5.102599501772038,-4.210566644408413,11.401818471112225,6.716163430450111e-16,-7.633906966864746e-17,47.174810945091465,9.26478448181636e-17,-3.5989065949427684e-17,42.45732985058233,-7.9999999999999964,-2.9999999999999987,5.388403036648874,8.356218700432494,1.80834556739433,8.653725204609835,1.461035609286082e-18,-5.264980037469355e-19,39.634213761459485,2.9567366835676624e-18,-9.513196004766995e-19,35.67079238531357,-26.999999999999986,-14.99999999999999,10.177495266964693,37.37178608691873,12.495549685795389,5.3556382553998905,-4.689526528164075e-16,1.64481943843461e-16,38.65594294971962,-2.3771499194531685e-16,-7.587734099951422e-16,34.79034865474769,-14.999999999999993,-8.99999999999999,5.708979079979884,20.429073687689336,5.768280020644946,7.542776983358306,-1.1122783744757044e-17,4.244585268299346e-16,38.109946705389866,6.87068862924892e-16,2.0404864739066743e-16,34.298952034850906,89.99999999999999,28.364089578411132,5.421729641927038e-15,-2.174973327426226e-15,3.623593043427532e-15,35.6816293423287,-6.943109020015213e-16,4.466918638849494e-17,7.3622160606830125
259.6,337.2,218.4,132.2,186.7,150.9,162.5,155.7,147.6,166.4,145.9,130.6,121.1,104.8,132.4,73.5,120713000,1427583,12:07:12:059,0,0,0,2.7524179729532474e-15,3.999999999999998,1.6125164179300093,-5.135721866245708,-4.238742597023704,10.82823614351649,7.842924936895351e-16,3.1009914155374755e-16,46.85359287844757,-4.245582551504499e-17,4.424638100761369e-16,42.16823359060284,-7.9999999999999964,-2.9999999999999987,5.444764624350365,8.339399205863481,1.8872500842558861,8.123859359884651,0,0,39.3285176897326,2.959012212401943e-18,-9.442179436242436e-19,35.395665920759335,-26.99999999999999,-14.99999999999999,10.192519738923389,37.37088321752782,12.551130157569352,5.2191925123157,4.0918938033830194e-17,-1.6979239551817725e-15,38.35103777169611,1.4377298481460198e-16,-8.7728912578837e-16,34.515933994526506,-14.99999999999999,-8.99999999999999,5.749765543455906,20.429707082126708,5.889533980041364,7.174590478153535,3.1725092086314755e-16,3.113335406902708e-16,37.94860994524874,0,0,34.15374895072387,90,28.6036546216025,3.622695872631364e-15,-3.0679937440897875e-15,-1.1031962386213468e-15,35.58181057433231,-5.943554612041811e-16,-7.601459599137577e-16,7.026408591676007
259.4,337.5,218.7,132.3,187,150.6,161.8,156,147.5,166.1,145.6,130.1,121.3,104.5,132.4,73.8,120713001,1427600,12:07:12:059,0,0,0,1.868156995217136e-15,3.9999999999999982,1.6850099028142613,-5.177163169420559,-4.292309797718161,10.145749374065959,1.5301203135674217e-16,-2.7900786268141603e-16,45.19835544983137,-9.319532006157328e-17,3.454661106365868e-17,40.678519904848244,-7.9999999999999964,-2.9999999999999987,5.510043840362849,8.318879779054553,1.9774734851587021,7.509955389837338,1.0089118992813968e-18,2.9375836290553916e-18,37.91002641116801,2.9693477115303057e-18,-9.111942527450306e-19,34.1190237700512,-26.999999999999993,-14.999999999999982,10.168437865452058,37.35883104284643,12.409998199742084,5.39680666503797,-1.29013410692958e-15,-4.039042576516485e-16,37.28704152205822,8.397298086642806e-16,1.4077987232425407e-15,33.55833736985239,-14.99999999999999,-8.999999999999988,5.780032336115641,20.430591463944758,5.985731614734058,6.903670090050814,6.298713253104367e-16,-6.273507750379346e-16,36.640158287725576,1.906104124712481e-16,-5.641821272418888e-17,32.976142458953035,89.99999999999999,29.184626351590897,5.464539154392702e-15,3.684237426522577e-15,-2.8426753481657958e-15,35.339739020170455,-3.969049561375164e-16,2.2974596215836374e-17,6.625667643455544
259.4,336.9,218.7,132,187.6,150.3,161.5,155.1,147.5,165.7,145.5,130.2,121.2,104.6,132.2,73.5,120713002,1427616,12:07:13:001,0,0,0,1.6190693958548515e-15,3.999999999999996,1.7675341446436663,-5.226124878122948,-4.37704635273371,9.371025460382917,6.357392249254581e-16,-1.5197136454647746e-16,44.380478300779956,-1.4445691254680654e-16,4.755029977313644e-16,39.94243047070198,-7.9999999999999964,-2.9999999999999996,5.611021161069387,8.285076341123633,2.115294310571046,6.560015166448491,2.4692657614947305e-18,2.441690520288587e-18,37.51332766039676,3.874110623659295e-18,2.0702339172329973e-18,33.76199489435709,-27,-14.999999999999998,10.223440727310171,37.38788580192543,12.74087396165539,4.997742682984181,1.0897601532458473e-16,8.016215530000803e-16,36.722483629180104,9.172775773460424e-16,-1.1015442513624387e-15,33.05023526626211,-14.999999999999993,-8.99999999999999,5.8645399474049436,20.433312945933146,6.273113842837376,6.154100381793162,-4.7223676894416785e-17,1.5480095119618087e-17,36.2986684335085,-6.512306082891464e-16,6.051492181407586e-16,32.66880159015765,90,29.4152518632434,0,-1.7128983865537649e-15,-1.1244929633931433e-15,35.24364505698192,-1.5393946391682714e-16,8.050239068684046e-16,6.42126882794303
259.3,337.6,218.5,131.8,187,150.5,161.6,155.5,147.3,165.2,145.7,130,121.2,104.7,132.3,73.7,120713003,1427633,12:07:13:002,0,0,0,1.3450730365563382e-15,3.9999999999999996,1.857842180107899,-5.27450369370148,-4.432920138730144,8.519598611719987,1.1165895778464365e-15,-2.075480273980561e-17,43.83866133391967,-4.677946136856947e-16,1.677471306482507e-16,39.45479520052772,-7.999999999999999,-2.9999999999999996,5.703557921769469,8.252295316665522,2.242862129562761,5.689590424149668,1.4740807239009191e-18,-4.887854529087426e-19,36.68966116875706,0,0,33.02069505188136,-26.99999999999999,-14.999999999999993,10.271720986251259,37.39977208377061,12.985625380850212,4.610936796987505,-6.044788606428342e-16,1.0329746025694648e-15,36.062056962954905,1.1451876477140215e-15,-3.333131230891844e-16,32.45585126665942,-14.999999999999982,-8.999999999999991,5.939781304288463,20.42975287868655,6.508604260951839,5.478652033118349,-7.572051900581455e-16,2.4266397602492463e-16,35.53852516152642,-2.190676837676352e-16,-7.643656553246626e-16,31.98467264537379,89.99999999999999,29.523557063156332,-1.827583243809876e-15,-4.482333072902374e-16,5.592730774304448e-16,35.198517890351525,-1.4887613382893497e-16,7.954735395680928e-18,6.117028379581778
